Variable,Label_ID,FS_Label_Name,Hemisphere,FS_Structure,Feature_Family
label2015_log-sigma-1-0-mm-3D_glcm_ClusterShade,2015,ctx-rh-middletemporal,RH,middletemporal,Texture – GLCM
label1023_wavelet-LLH_gldm_LargeDependenceEmphasis,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,Texture – GLDM
label253_wavelet-HHL_firstorder_10Percentile,253,CC_Central,Midline/Other,CC_Central,First-order
label2028_wavelet-LLH_glcm_SumEntropy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label1035_wavelet-LLH_glcm_DifferenceVariance,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1003_wavelet-HHH_glcm_DifferenceVariance,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label1018_log-sigma-1-0-mm-3D_glcm_MaximumProbability,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label2023_wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label2017_wavelet-LLH_glrlm_RunLengthNonUniformity,2017,ctx-rh-paracentral,RH,paracentral,Texture – GLRLM
label1003_wavelet-HHH_glcm_DifferenceEntropy,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label1017_wavelet-LLH_glcm_Imc2,1017,ctx-lh-paracentral,LH,paracentral,Texture – GLCM
label252_wavelet-LHL_glrlm_RunLengthNonUniformity,252,CC_Mid_Posterior,Midline/Other,CC_Mid_Posterior,Texture – GLRLM
label2026_wavelet-LLH_glrlm_LongRunEmphasis,2026,ctx-rh-rostralanteriorcingulate,RH,rostralanteriorcingulate,Texture – GLRLM
label2023_wavelet-LLH_glcm_Imc1,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLCM
label50_wavelet-HLH_gldm_DependenceNonUniformityNormalized,50,Right-Caudate,RH,Caudate,Texture – GLDM
label2024_wavelet-HLL_glcm_Idmn,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_Id,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_Idm,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_Contrast,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_DifferenceAverage,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_InverseVariance,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2024_wavelet-HLL_glcm_Idn,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label2001_wavelet-HHH_glcm_Imc1,2001,ctx-rh-bankssts,RH,bankssts,Texture – GLCM
label2001_wavelet-HHH_glcm_DifferenceEntropy,2001,ctx-rh-bankssts,RH,bankssts,Texture – GLCM
label2015_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2015,ctx-rh-middletemporal,RH,middletemporal,Texture – GLDM
label2034_wavelet-HLL_gldm_LargeDependenceEmphasis,2034,ctx-rh-transversetemporal,RH,transversetemporal,Texture – GLDM
label7_log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLDM
label1030_log-sigma-1-0-mm-3D_firstorder_Skewness,1030,ctx-lh-superiortemporal,LH,superiortemporal,First-order
label31_wavelet-LLH_firstorder_Variance,31,Left-choroid-plexus,LH,choroid-plexus,First-order
label46_wavelet-HLH_firstorder_90Percentile,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,First-order
label1018_wavelet-HHH_glcm_MCC,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label7_log-sigma-5-0-mm-3D_gldm_HighGrayLevelEmphasis,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLDM
label11_wavelet-HLL_glrlm_LongRunEmphasis,11,Left-Caudate,LH,Caudate,Texture – GLRLM
label2011_original_glrlm_RunLengthNonUniformityNormalized,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label1020_log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLDM
label31_wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,31,Left-choroid-plexus,LH,choroid-plexus,First-order
label1011_wavelet-LLH_glcm_DifferenceVariance,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLCM
label8_wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label1011_wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLRLM
label50_wavelet-HLL_glcm_JointEntropy,50,Right-Caudate,RH,Caudate,Texture – GLCM
label7_wavelet-HHH_firstorder_90Percentile,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,First-order
label1024_wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,1024,ctx-lh-precentral,LH,precentral,Texture – GLSZM
label2002_wavelet-HHL_firstorder_InterquartileRange,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label1030_wavelet-LLL_glrlm_RunPercentage,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLRLM
label1030_original_glrlm_RunPercentage,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLRLM
label1020_log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLDM
label43_wavelet-LLH_firstorder_Entropy,43,Right-Lateral-Ventricle,RH,Lateral-Ventricle,First-order
label8_log-sigma-5-0-mm-3D_firstorder_TotalEnergy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,First-order
label8_log-sigma-5-0-mm-3D_firstorder_Energy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,First-order
label8_wavelet-LLH_glrlm_ShortRunEmphasis,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label2001_wavelet-HHH_glcm_DifferenceVariance,2001,ctx-rh-bankssts,RH,bankssts,Texture – GLCM
label46_wavelet-LLL_firstorder_Kurtosis,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,First-order
label1010_wavelet-HHH_firstorder_InterquartileRange,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,First-order
label1018_wavelet-HHH_glcm_Imc2,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label50_wavelet-LHL_firstorder_90Percentile,50,Right-Caudate,RH,Caudate,First-order
label255_log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,255,CC_Anterior,Midline/Other,CC_Anterior,Texture – GLSZM
label2011_wavelet-HLH_glszm_ZonePercentage,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLSZM
label2001_wavelet-HLH_firstorder_InterquartileRange,2001,ctx-rh-bankssts,RH,bankssts,First-order
label255_wavelet-LHH_firstorder_Energy,255,CC_Anterior,Midline/Other,CC_Anterior,First-order
label2003_wavelet-LLH_glcm_DifferenceEntropy,2003,ctx-rh-caudalmiddlefrontal,RH,caudalmiddlefrontal,Texture – GLCM
label255_wavelet-LHH_firstorder_TotalEnergy,255,CC_Anterior,Midline/Other,CC_Anterior,First-order
label1002_wavelet-LHH_firstorder_90Percentile,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label2_wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLRLM
label24_wavelet-LLH_firstorder_Minimum,24,CSF,Midline/Other,CSF,First-order
label50_wavelet-HLH_gldm_DependenceVariance,50,Right-Caudate,RH,Caudate,Texture – GLDM
label1002_wavelet-LHL_firstorder_Mean,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label1003_wavelet-HHH_glcm_JointEnergy,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label1015_wavelet-LLH_glcm_Imc1,1015,ctx-lh-middletemporal,LH,middletemporal,Texture – GLCM
label2010_wavelet-LLH_glcm_JointEnergy,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,Texture – GLCM
label1030_wavelet-HHH_glrlm_RunVariance,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLRLM
label1031_wavelet-LLH_glcm_InverseVariance,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_Idm,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_Idmn,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_Idn,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_Id,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_Contrast,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label1031_wavelet-LLH_glcm_DifferenceAverage,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label46_wavelet-HHH_gldm_DependenceNonUniformity,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,Texture – GLDM
label47_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,47,Right-Cerebellum-Cortex,RH,Cerebellum-Cortex,Texture – GLDM
label7_wavelet-HHL_glrlm_GrayLevelNonUniformity,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLRLM
label1020_log-sigma-1-0-mm-3D_glcm_MaximumProbability,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLCM
label2035_log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,2035,ctx-rh-insula,RH,insula,Texture – GLDM
label1002_wavelet-LLH_glrlm_LongRunEmphasis,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,Texture – GLRLM
label1030_wavelet-HLL_glcm_Imc2,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLCM
label1002_log-sigma-1-0-mm-3D_firstorder_Mean,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label1027_wavelet-HLH_glcm_DifferenceEntropy,1027,ctx-lh-rostralmiddlefrontal,LH,rostralmiddlefrontal,Texture – GLCM
label2003_wavelet-LLH_glcm_DifferenceVariance,2003,ctx-rh-caudalmiddlefrontal,RH,caudalmiddlefrontal,Texture – GLCM
label2014_wavelet-LLH_gldm_LowGrayLevelEmphasis,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLDM
label2014_wavelet-LLH_gldm_HighGrayLevelEmphasis,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLDM
label1035_log-sigma-1-0-mm-3D_firstorder_10Percentile,1035,ctx-lh-insula,LH,insula,First-order
label1003_wavelet-HHH_glcm_JointEntropy,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label1002_log-sigma-1-0-mm-3D_firstorder_Median,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label2034_wavelet-HLL_gldm_DependenceNonUniformityNormalized,2034,ctx-rh-transversetemporal,RH,transversetemporal,Texture – GLDM
label1018_wavelet-HLL_glcm_DifferenceEntropy,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label7_log-sigma-5-0-mm-3D_glcm_ClusterProminence,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLCM
label1024_wavelet-LHH_glcm_Imc2,1024,ctx-lh-precentral,LH,precentral,Texture – GLCM
label2035_log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,2035,ctx-rh-insula,RH,insula,Texture – GLDM
label1012_wavelet-HLL_glcm_MaximumProbability,1012,ctx-lh-lateralorbitofrontal,LH,lateralorbitofrontal,Texture – GLCM
label253_wavelet-LLH_glcm_Autocorrelation,253,CC_Central,Midline/Other,CC_Central,Texture – GLCM
label2024_wavelet-LHH_glcm_MCC,2024,ctx-rh-precentral,RH,precentral,Texture – GLCM
label1018_wavelet-HLL_glcm_DifferenceVariance,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label2019_log-sigma-1-0-mm-3D_gldm_DependenceVariance,2019,ctx-rh-parsorbitalis,RH,parsorbitalis,Texture – GLDM
label1012_wavelet-LLH_glrlm_GrayLevelNonUniformity,1012,ctx-lh-lateralorbitofrontal,LH,lateralorbitofrontal,Texture – GLRLM
label8_wavelet-LLH_glcm_MaximumProbability,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label1016_wavelet-HHH_firstorder_10Percentile,1016,ctx-lh-parahippocampal,LH,parahippocampal,First-order
label2002_wavelet-LHH_firstorder_Variance,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2015_wavelet-HLH_glcm_MCC,2015,ctx-rh-middletemporal,RH,middletemporal,Texture – GLCM
label28_wavelet-LHL_glcm_ClusterProminence,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label58_wavelet-LHH_firstorder_10Percentile,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label2035_log-sigma-3-0-mm-3D_glcm_ClusterProminence,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label1010_wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,First-order
label43_wavelet-LLH_firstorder_Uniformity,43,Right-Lateral-Ventricle,RH,Lateral-Ventricle,First-order
label43_wavelet-LLH_gldm_GrayLevelVariance,43,Right-Lateral-Ventricle,RH,Lateral-Ventricle,Texture – GLDM
label41_wavelet-HLL_glrlm_ShortRunEmphasis,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label1030_log-sigma-3-0-mm-3D_glrlm_ShortRunEmphasis,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLRLM
label49_wavelet-LLH_glcm_JointEnergy,49,Right-Thalamus-Proper*,RH,Thalamus-Proper*,Texture – GLCM
label1027_log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,1027,ctx-lh-rostralmiddlefrontal,LH,rostralmiddlefrontal,Texture – GLDM
label2002_wavelet-LHH_firstorder_RootMeanSquared,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label1024_wavelet-LHH_glcm_MCC,1024,ctx-lh-precentral,LH,precentral,Texture – GLCM
label2035_wavelet-LLH_gldm_DependenceVariance,2035,ctx-rh-insula,RH,insula,Texture – GLDM
label1022_log-sigma-3-0-mm-3D_glrlm_RunPercentage,1022,ctx-lh-postcentral,LH,postcentral,Texture – GLRLM
label1011_wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLRLM
label1028_wavelet-HLH_glcm_JointEntropy,1028,ctx-lh-superiorfrontal,LH,superiorfrontal,Texture – GLCM
label1024_wavelet-HLL_glcm_MaximumProbability,1024,ctx-lh-precentral,LH,precentral,Texture – GLCM
label1030_log-sigma-5-0-mm-3D_gldm_LargeDependenceEmphasis,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLDM
label58_wavelet-LHH_firstorder_Variance,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label17_wavelet-LLH_glcm_ClusterTendency,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label7_wavelet-LHH_gldm_DependenceNonUniformity,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLDM
label2016_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2016,ctx-rh-parahippocampal,RH,parahippocampal,Texture – GLDM
label2027_wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,2027,ctx-rh-rostralmiddlefrontal,RH,rostralmiddlefrontal,Texture – GLSZM
label2030_wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLSZM
label18_wavelet-LLH_glcm_DifferenceEntropy,18,Left-Amygdala,LH,Amygdala,Texture – GLCM
label1011_log-sigma-5-0-mm-3D_gldm_LargeDependenceEmphasis,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLDM
label2011_wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label8_wavelet-HHH_glcm_MaximumProbability,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label2015_wavelet-HLH_glcm_Imc2,2015,ctx-rh-middletemporal,RH,middletemporal,Texture – GLCM
label2_wavelet-LLH_glcm_ClusterProminence,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLCM
label2023_wavelet-LLH_glcm_DifferenceVariance,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLCM
label1014_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLRLM
label2010_wavelet-LLH_glcm_MCC,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,Texture – GLCM
label2011_wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLSZM
label1022_wavelet-HLL_glszm_SmallAreaEmphasis,1022,ctx-lh-postcentral,LH,postcentral,Texture – GLSZM
label2035_wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,2035,ctx-rh-insula,RH,insula,Texture – GLRLM
label1010_wavelet-LLH_glcm_DifferenceEntropy,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label2035_wavelet-HLH_glrlm_GrayLevelVariance,2035,ctx-rh-insula,RH,insula,Texture – GLRLM
label60_log-sigma-5-0-mm-3D_glcm_DifferenceEntropy,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label1023_wavelet-LLH_glrlm_RunEntropy,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,Texture – GLRLM
label251_original_shape_Maximum2DDiameterSlice,251,CC_Posterior,Midline/Other,CC_Posterior,Shape (3D)
label1012_wavelet-LLH_gldm_DependenceNonUniformity,1012,ctx-lh-lateralorbitofrontal,LH,lateralorbitofrontal,Texture – GLDM
label2034_wavelet-LLH_glrlm_RunLengthNonUniformity,2034,ctx-rh-transversetemporal,RH,transversetemporal,Texture – GLRLM
label7_wavelet-HHL_glrlm_RunLengthNonUniformity,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLRLM
label1015_wavelet-HLL_glcm_DifferenceEntropy,1015,ctx-lh-middletemporal,LH,middletemporal,Texture – GLCM
label46_log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,Texture – GLRLM
label58_wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label2030_log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLRLM
label2020_log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,2020,ctx-rh-parstriangularis,RH,parstriangularis,Texture – GLRLM
label1018_log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLRLM
label43_wavelet-LLH_glcm_Imc2,43,Right-Lateral-Ventricle,RH,Lateral-Ventricle,Texture – GLCM
label1034_wavelet-HLL_glszm_SizeZoneNonUniformity,1034,ctx-lh-transversetemporal,LH,transversetemporal,Texture – GLSZM
label1020_wavelet-HHH_glrlm_RunVariance,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLRLM
label2028_wavelet-LHL_glcm_JointEnergy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label1020_wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLDM
label2030_wavelet-LLL_gldm_DependenceVariance,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLDM
label2030_original_gldm_DependenceVariance,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLDM
label58_wavelet-LHH_firstorder_RootMeanSquared,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label7_wavelet-LLH_gldm_GrayLevelNonUniformity,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLDM
label1022_log-sigma-3-0-mm-3D_glrlm_RunVariance,1022,ctx-lh-postcentral,LH,postcentral,Texture – GLRLM
label1026_log-sigma-5-0-mm-3D_firstorder_InterquartileRange,1026,ctx-lh-rostralanteriorcingulate,LH,rostralanteriorcingulate,First-order
label7_log-sigma-5-0-mm-3D_glcm_Imc2,7,Left-Cerebellum-White-Matter,LH,Cerebellum-White-Matter,Texture – GLCM
label2017_wavelet-LHL_glcm_MCC,2017,ctx-rh-paracentral,RH,paracentral,Texture – GLCM
label1022_wavelet-LLL_firstorder_Kurtosis,1022,ctx-lh-postcentral,LH,postcentral,First-order
label1018_log-sigma-1-0-mm-3D_glcm_SumSquares,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLCM
label2001_log-sigma-5-0-mm-3D_glrlm_RunEntropy,2001,ctx-rh-bankssts,RH,bankssts,Texture – GLRLM
label254_wavelet-HHH_firstorder_InterquartileRange,254,CC_Mid_Anterior,Midline/Other,CC_Mid_Anterior,First-order
label1030_wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,1030,ctx-lh-superiortemporal,LH,superiortemporal,Texture – GLDM
label1028_wavelet-HLH_glcm_JointEnergy,1028,ctx-lh-superiorfrontal,LH,superiorfrontal,Texture – GLCM
label1019_log-sigma-1-0-mm-3D_glcm_Imc2,1019,ctx-lh-parsorbitalis,LH,parsorbitalis,Texture – GLCM
label1020_log-sigma-5-0-mm-3D_glcm_Imc1,1020,ctx-lh-parstriangularis,LH,parstriangularis,Texture – GLCM
label2010_wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label1023_wavelet-LLH_glcm_ClusterTendency,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,Texture – GLCM
label11_wavelet-LLH_gldm_DependenceEntropy,11,Left-Caudate,LH,Caudate,Texture – GLDM
label1002_wavelet-HHH_firstorder_90Percentile,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label60_log-sigma-5-0-mm-3D_glcm_DifferenceVariance,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label46_wavelet-HLH_firstorder_MeanAbsoluteDeviation,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,First-order
label49_wavelet-LHH_firstorder_MeanAbsoluteDeviation,49,Right-Thalamus-Proper*,RH,Thalamus-Proper*,First-order
label8_wavelet-LLH_glcm_JointEnergy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label1011_log-sigma-5-0-mm-3D_glrlm_LongRunEmphasis,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLRLM
label2015_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,2015,ctx-rh-middletemporal,RH,middletemporal,Texture – GLDM
label1023_wavelet-LLH_glcm_DifferenceEntropy,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,Texture – GLCM
label2002_wavelet-HHL_firstorder_Variance,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2009_log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,2009,ctx-rh-inferiortemporal,RH,inferiortemporal,Texture – GLDM
label1035_wavelet-LLH_gldm_LargeDependenceEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label60_wavelet-LHL_glcm_DifferenceAverage,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_wavelet-LHL_glcm_Id,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_wavelet-LHL_glcm_Idm,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label1023_wavelet-HLL_glcm_JointEntropy,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,Texture – GLCM
label60_wavelet-LHL_glcm_Idmn,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_wavelet-LHL_glcm_Idn,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_wavelet-LHL_glcm_Contrast,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_wavelet-LHL_glcm_InverseVariance,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label8_wavelet-HLL_glrlm_LongRunEmphasis,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label2002_wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2030_wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLSZM
label2030_wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,2030,ctx-rh-superiortemporal,RH,superiortemporal,Texture – GLSZM
label2017_wavelet-LHL_glcm_Imc2,2017,ctx-rh-paracentral,RH,paracentral,Texture – GLCM
label1023_wavelet-HHH_firstorder_TotalEnergy,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,First-order
label1023_wavelet-HHH_firstorder_Energy,1023,ctx-lh-posteriorcingulate,LH,posteriorcingulate,First-order
label1011_wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLDM
label2014_wavelet-LLH_glcm_ClusterShade,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLCM
label2027_log-sigma-1-0-mm-3D_glcm_Autocorrelation,2027,ctx-rh-rostralmiddlefrontal,RH,rostralmiddlefrontal,Texture – GLCM
label58_wavelet-HLH_firstorder_MeanAbsoluteDeviation,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label1018_log-sigma-1-0-mm-3D_firstorder_Skewness,1018,ctx-lh-parsopercularis,LH,parsopercularis,First-order
label1024_wavelet-HLL_gldm_DependenceNonUniformity,1024,ctx-lh-precentral,LH,precentral,Texture – GLDM
label1002_wavelet-HHH_firstorder_InterquartileRange,1002,ctx-lh-caudalanteriorcingulate,LH,caudalanteriorcingulate,First-order
label253_wavelet-HHH_firstorder_Range,253,CC_Central,Midline/Other,CC_Central,First-order
label60_log-sigma-5-0-mm-3D_glcm_Idm,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_log-sigma-5-0-mm-3D_glcm_Idn,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
label60_log-sigma-5-0-mm-3D_glcm_InverseVariance,60,Right-VentralDC,RH,VentralDC,Texture – GLCM
